%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1702028662361792922,311,1702028662361233711,base_link,-0.15004965273336257,0.2287121244010421,-0.8642296489715757,-0.4222356921258868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023894216865301132,-0.004162905737757683,-0.006464438512921333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.515593376704112,-2.351696452652522,8.373705288033936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662361826424,312,1702028662361460924,base_link,-0.15003372588351813,0.228770980999562,-0.8642027211848615,-0.42226458062059596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023894216865301132,-0.004162905737757683,-0.006464438512921333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.515593376704112,-2.351696452652522,8.373705288033936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662368400514,313,1702028662367908239,base_link,-0.15003372588351813,0.228770980999562,-0.8642027211848615,-0.42226458062059596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03348113223910332,0.005424458533525467,0.00631882157176733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.460523965053015,-2.281465444810176,8.422508022039805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662368409067,314,1702028662368138313,base_link,-0.14995904693659617,0.22885517243549908,-0.8641933401562718,-0.4222646860926594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03348113223910332,0.005424458533525467,0.00631882157176733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.460523965053015,-2.281465444810176,8.422508022039805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662375173129,315,1702028662374570846,base_link,-0.14995904693659617,0.22885517243549908,-0.8641933401562718,-0.4222646860926594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03987213969230652,0.01607659086585045,0.018036941066384315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.422841508396751,-2.3376241663705937,8.426979663462049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662375181319,316,1702028662374801397,base_link,-0.14984337827728503,0.2289414802024451,-0.8642011596942838,-0.4222429587479453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03987213969230652,0.01607659086585045,0.018036941066384315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.422841508396751,-2.3376241663705937,8.426979663462049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662381712807,317,1702028662381201744,base_link,-0.14984337827728503,0.2289414802024451,-0.8642011596942838,-0.4222429587479453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044132523238658905,0.018206343054771423,0.02442879043519497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.394161734849481,-2.4566562098470612,8.408102218372735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662381721681,318,1702028662381403684,base_link,-0.1497102674132904,0.22902352566129341,-0.8642180390109424,-0.4222111338806606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044132523238658905,0.018206343054771423,0.02442879043519497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.394161734849481,-2.4566562098470612,8.408102218372735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662388522919,319,1702028662387903690,base_link,-0.1497102674132904,0.22902352566129341,-0.8642180390109424,-0.4222111338806606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03774014860391617,0.028857989236712456,0.0254942886531353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.350638915450863,-2.449383288404803,8.43282055624616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662388535847,320,1702028662388124942,base_link,-0.14955573006630157,0.22909573881606388,-0.8642392726648321,-0.42218326073450546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03774014860391617,0.028857989236712456,0.0254942886531353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.350638915450863,-2.449383288404803,8.43282055624616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662395159152,321,1702028662394562721,base_link,-0.14955573006630157,0.22909573881606388,-0.8642392726648321,-0.42218326073450546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038804687559604645,0.02779174968600273,0.022298747673630714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.324876889561721,-2.4980790056756037,8.431787543073991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
